ID	pheno
ID1	0
ID2	0
ID3	1
ID4	0
ID5	0
ID6	0
ID7	0
ID8	0
ID9	0
ID10	0
ID11	0
ID12	0
ID13	0
ID14	0
ID15	0
ID16	0
ID17	0
ID18	0
ID19	1
ID20	0
ID21	0
ID22	1
ID23	1
ID24	0
ID25	0
ID26	1
ID27	1
ID28	0
ID29	0
ID30	1
ID31	0
ID32	0
ID33	0
ID34	1
ID35	1
ID36	0
ID37	1
ID38	0
ID39	0
ID40	0
ID41	0
ID42	0
ID43	0
ID44	0
ID45	0
ID46	0
ID47	1
ID48	0
ID49	0
ID50	1
ID51	0
ID52	0
ID53	0
ID54	1
ID55	0
ID56	1
ID57	1
ID58	1
ID59	1
ID60	1
ID61	1
ID62	1
ID63	1
ID64	1
ID65	1
ID66	1
ID67	1
ID68	1
ID69	0
ID70	1
ID71	1
ID72	1
ID73	1
ID74	1
ID75	1
ID76	1
ID77	1
ID78	1
ID79	1
ID80	1
ID81	1
ID82	1
ID83	1
ID84	1
ID85	1
ID86	1
ID87	1
ID88	0
ID89	0
ID90	0
ID91	0
ID92	0
ID93	1
ID94	1
ID95	1
ID96	0
ID97	0
ID98	1
ID99	1
ID100	1
