Tip	Status
G000007485	0
G000008385	0
G000008605	0
G000009905	0
G000010185	0
G000011225	0
G000012965	0
G000013405	0
G000014185	0
G000014865	1
G000014905	0
G000017305	0
G000017565	0
G000017685	0
G000020005	0
G000020625	0
G000020945	0
G000020965	0
G000021565	0
G000021685	0
G000021905	0
G000021985	1
G000022605	0
G000023325	0
G000024325	0
G000024385	0
G000024545	0
G000024565	0
G000024845	0
G000025885	0
G000025905	0
G000068585	0
G000092205	0
G000145215	0
G000146505	0
G000154805	0
G000155895	0
G000157955	0
G000160455	0
G000160875	0
G000163515	0
G000163695	0
G000165505	0
G000165795	0
G000166395	0
G000170735	1
G000170755	0
G000171775	0
G000172555	0
G000173075	0
G000173355	0
G000175215	0
G000179315	0
G000179635	0
G000183745	0
G000185805	1
G000188195	0
G000190635	0
G000190735	0
G000194985	0
G000195295	0
G000205025	0
G000212395	0
G000212735	0
G000218765	0
G000219805	0
G000236085	0
G000236665	0
G000236685	0
G000238815	0
G000239695	0
G000242235	0
G000242455	0
G000242615	0
G000252855	0
G000253035	0
G000255655	1
G000258405	0
G000266945	0
G000270085	0
G000277715	0
G000296445	0
G000300005	1
G000311985	0
G000312025	0
G000313915	0
G000315795	1
G000316515	0
G000330745	0
G000348725	1
G000348785	0
G000348925	0
G000353285	0
G000373545	0
G000374045	0
G000374145	0
G000379365	0
G000379625	0
G000382085	0
G000398925	0
G000420385	0
G000420505	0
G000420545	0
G000423145	0
G000423165	0
G000423505	0
G000423525	1
G000423665	0
G000423865	0
G000425845	0
G000425865	1
G000426705	1
G000427365	0
G000428745	0
G000429865	1
G000455525	0
G000484535	0
G000487995	1
G000495435	0
G000502095	0
G000510805	0
G000512355	0
G000512915	0
G000521505	1
G000522445	0
G000522465	1
G000526155	1
G000591415	1
G000601455	1
G000620985	0
G000686905	1
G000687145	0
G000699505	0
G000711725	0
G000711975	0
G000714935	1
G000723745	0
G000730245	0
G000732535	1
G000737515	0
G000745455	1
G000820845	0
G000827125	1
G000828655	0
G000875945	0
G000946815	0
G000953395	0
G000965005	0
G000967915	0
G000969705	0
G000972765	0
G000975095	0
G000981765	0
G001017655	0
G001027545	0
G001189295	0
G001192795	0
G001192835	0
G001262605	0
G001283065	1
G001293545	0
G001311885	0
G001399755	0
G001435235	1
G001435835	0
G001485475	0
G001508955	0
G001547735	1
G001548055	1
G001562415	1
G001676785	0
G001687335	1
G001748285	0
G001881485	0
G001886815	0
G001889065	0
G001909285	1
G001932955	0
G001939485	0
G002021775	0
G900096945	0
G900101645	0
G900102435	1
G900106765	1
G900114655	1
G900115735	0
G900116115	0
G900128885	0
G900128965	0
G900130065	0
G900141795	1
G900141895	0
G900142005	0
G900142265	0
G900142955	1
